,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2012-04-01T05:53:11L304C073,,-768.0,-691.2,307.2,384.0,2012-04-01T05:53:11,2012-04-01T06:01:47,SDO
1,SOL2012-04-01T05:53:26L304C073,,-768.0,-691.2,307.2,384.0,2012-04-01T05:53:26,2012-04-01T05:57:38,SDO
2,SOL2012-04-01T06:18:35L301C068,,-768.0,-691.2,384.0,460.8,2012-04-01T06:18:35,2012-04-01T06:22:11,SDO
3,SOL2012-04-01T11:55:35L320C075,,-537.6,-460.8,307.2,384.0,2012-04-01T11:55:35,2012-04-01T11:57:59,SDO
4,SOL2012-04-01T12:12:35L331C107,,-384.0,-307.2,-230.4,-153.6,2012-04-01T12:12:35,2012-04-01T12:18:35,SDO
5,SOL2012-04-01T14:47:35L324C075,,-460.8,-384.0,307.2,384.0,2012-04-01T14:47:35,2012-04-01T14:53:35,SDO
6,SOL2012-04-01T16:07:11L030C111,,537.6,614.4,-307.2,-230.4,2012-04-01T16:07:11,2012-04-01T16:21:35,SDO
7,SOL2012-04-01T18:07:11L294C068,,-768.0,-691.2,384.0,460.8,2012-04-01T18:07:11,2012-04-01T18:10:59,SDO
8,SOL2012-04-01T19:24:59L028C111,,537.6,614.4,-307.2,-230.4,2012-04-01T19:24:59,2012-04-01T19:30:35,SDO
9,SOL2012-04-02T00:02:35L325C075,,-384.0,-307.2,307.2,384.0,2012-04-02T00:02:35,2012-04-02T00:06:11,SDO
10,SOL2012-04-02T00:13:47L324C075,,-384.0,-307.2,307.2,384.0,2012-04-02T00:13:47,2012-04-02T00:16:47,SDO
11,SOL2012-04-02T01:17:11L301C074,,-691.2,-614.4,307.2,460.8,2012-04-02T01:17:11,2012-04-02T01:19:59,SDO
12,SOL2012-04-02T02:28:00L345C090,B7.9,-90.0,90.0,-90.0,90.0,2012-04-02T02:28:00,2012-04-02T02:41:00,GOES
13,SOL2012-04-02T02:28:00L300C070,B7.9,-46.0,-44.0,19.0,21.0,2012-04-02T02:28:00,2012-04-02T02:41:00,SDO
14,SOL2012-04-02T02:29:59L298C069,,-691.2,-614.4,384.0,460.8,2012-04-02T02:29:59,2012-04-02T02:38:23,SDO
15,SOL2012-04-02T03:43:47L282C072,,-844.8,-768.0,307.2,384.0,2012-04-02T03:43:47,2012-04-02T03:46:47,SDO
16,SOL2012-04-02T03:43:50L282C072,,-844.8,-768.0,307.2,384.0,2012-04-02T03:43:50,2012-04-02T03:46:02,SDO
17,SOL2012-04-02T04:26:59L282C072,,-844.8,-768.0,307.2,384.0,2012-04-02T04:26:59,2012-04-02T04:37:11,SDO
18,SOL2012-04-02T05:27:59L281C072,,-844.8,-768.0,307.2,384.0,2012-04-02T05:27:59,2012-04-02T05:32:47,SDO
19,SOL2012-04-02T05:28:25L281C072,,-844.8,-768.0,307.2,384.0,2012-04-02T05:28:25,2012-04-02T06:37:01,SDO
20,SOL2012-04-02T06:06:35L326C076,,-307.2,-230.4,307.2,384.0,2012-04-02T06:06:35,2012-04-02T06:49:47,SDO
21,SOL2012-04-02T06:36:49L326C076,,-307.2,-230.4,307.2,384.0,2012-04-02T06:36:49,2012-04-02T06:41:49,SDO
22,SOL2012-04-02T07:04:59L326C076,,-307.2,-230.4,307.2,384.0,2012-04-02T07:04:59,2012-04-02T07:10:47,SDO
23,SOL2012-04-02T07:06:02L326C076,,-307.2,-230.4,307.2,384.0,2012-04-02T07:06:02,2012-04-02T07:08:02,SDO
24,SOL2012-04-02T07:58:23L309C075,,-537.6,-460.8,307.2,384.0,2012-04-02T07:58:23,2012-04-02T08:11:11,SDO
25,SOL2012-04-02T08:14:47L325C076,,-307.2,-230.4,307.2,384.0,2012-04-02T08:14:47,2012-04-02T08:34:47,SDO
26,SOL2012-04-02T08:23:49L325C076,,-307.2,-230.4,307.2,384.0,2012-04-02T08:23:49,2012-04-02T08:28:01,SDO
27,SOL2012-04-02T08:23:50L325C076,,-307.2,-230.4,307.2,384.0,2012-04-02T08:23:50,2012-04-02T08:28:26,SDO
28,SOL2012-04-02T08:23:56L325C076,,-307.2,-230.4,307.2,384.0,2012-04-02T08:23:56,2012-04-02T08:28:20,SDO
29,SOL2012-04-02T08:45:11L280C072,,-844.8,-691.2,307.2,384.0,2012-04-02T08:45:11,2012-04-02T08:50:59,SDO
30,SOL2012-04-02T08:45:13L280C072,,-844.8,-691.2,307.2,384.0,2012-04-02T08:45:13,2012-04-02T08:50:49,SDO
31,SOL2012-04-02T08:45:38L280C072,,-844.8,-691.2,307.2,384.0,2012-04-02T08:45:38,2012-04-02T08:49:26,SDO
32,SOL2012-04-02T08:54:23L325C076,,-537.6,-230.4,307.2,384.0,2012-04-02T08:54:23,2012-04-02T09:13:59,SDO
33,SOL2012-04-02T08:58:26L325C076,,-307.2,-230.4,307.2,384.0,2012-04-02T08:58:26,2012-04-02T09:00:26,SDO
34,SOL2012-04-02T08:59:47L303C074,,-614.4,-537.6,307.2,384.0,2012-04-02T08:59:47,2012-04-02T09:14:23,SDO
35,SOL2012-04-02T09:05:13L303C074,,-614.4,-537.6,307.2,384.0,2012-04-02T09:05:13,2012-04-02T09:10:01,SDO
36,SOL2012-04-02T09:30:23L324C076,,-307.2,-230.4,307.2,384.0,2012-04-02T09:30:23,2012-04-02T09:45:47,SDO
37,SOL2012-04-02T10:17:11L324C076,,-307.2,-230.4,307.2,384.0,2012-04-02T10:17:11,2012-04-02T11:56:35,SDO
38,SOL2012-04-02T10:17:13L324C076,,-307.2,-230.4,307.2,384.0,2012-04-02T10:17:13,2012-04-02T12:21:25,SDO
39,SOL2012-04-02T10:53:11L288C073,,-768.0,-691.2,307.2,384.0,2012-04-02T10:53:11,2012-04-02T10:58:23,SDO
40,SOL2012-04-02T12:11:35L328C107,,-230.4,-153.6,-230.4,-153.6,2012-04-02T12:11:35,2012-04-02T12:36:59,SDO
41,SOL2012-04-02T15:39:59L285C073,,-768.0,-691.2,307.2,384.0,2012-04-02T15:39:59,2012-04-02T15:47:11,SDO
42,SOL2012-04-02T15:40:25L285C073,,-768.0,-691.2,307.2,384.0,2012-04-02T15:40:25,2012-04-02T15:44:49,SDO
43,SOL2012-04-02T21:35:00L321C070,B5.0,-14.0,-12.0,19.0,21.0,2012-04-02T21:35:00,2012-04-02T23:00:00,SDO
44,SOL2012-04-02T21:53:00L321C069,B4.9,-14.0,-12.0,20.0,22.0,2012-04-02T21:53:00,2012-04-02T22:53:00,SDO
45,SOL2012-04-02T21:53:00L334C090,B4.9,-90.0,90.0,-90.0,90.0,2012-04-02T21:53:00,2012-04-02T22:53:00,GOES
