,SOL_standard,fl_goescls,boundbox_c1ll,boundbox_c1ur,boundbox_c2ll,boundbox_c2ur,event_starttime,event_endtime,search_observatory
0,SOL2013-04-01T01:21:10L154C113,,-844.8,-768.0,-384.0,-307.2,2013-04-01T01:21:10,2013-04-01T01:29:34,SDO
1,SOL2013-04-01T01:29:58L160C104,,-844.8,-768.0,-230.4,-153.6,2013-04-01T01:29:58,2013-04-01T01:32:46,SDO
2,SOL2013-04-01T01:37:34L189C080,,-537.6,-460.8,230.4,307.2,2013-04-01T01:37:34,2013-04-01T01:40:22,SDO
3,SOL2013-04-01T01:40:22L160C104,,-844.8,-768.0,-230.4,-153.6,2013-04-01T01:40:22,2013-04-01T01:42:46,SDO
4,SOL2013-04-01T03:11:22L153C113,,-844.8,-768.0,-384.0,-307.2,2013-04-01T03:11:22,2013-04-01T03:13:46,SDO
5,SOL2013-04-01T05:30:10L158C104,,-844.8,-768.0,-230.4,-153.6,2013-04-01T05:30:10,2013-04-01T05:33:34,SDO
6,SOL2013-04-01T05:30:24L158C104,,-844.8,-768.0,-230.4,-153.6,2013-04-01T05:30:24,2013-04-01T05:33:24,SDO
7,SOL2013-04-01T05:30:25L158C104,,-844.8,-768.0,-230.4,-153.6,2013-04-01T05:30:25,2013-04-01T05:33:49,SDO
8,SOL2013-04-01T06:43:22L257C075,,537.6,614.4,307.2,384.0,2013-04-01T06:43:22,2013-04-01T06:49:34,SDO
9,SOL2013-04-01T14:03:34L161C105,,-768.0,-691.2,-230.4,-153.6,2013-04-01T14:03:34,2013-04-01T14:05:58,SDO
10,SOL2013-04-01T14:26:58L159C110,,-768.0,-691.2,-307.2,-230.4,2013-04-01T14:26:58,2013-04-01T14:30:58,SDO
11,SOL2013-04-01T14:27:12L159C110,,-768.0,-691.2,-307.2,-230.4,2013-04-01T14:27:12,2013-04-01T14:30:36,SDO
12,SOL2013-04-01T16:38:34L158C110,,-768.0,-691.2,-307.2,-230.4,2013-04-01T16:38:34,2013-04-01T16:43:46,SDO
13,SOL2013-04-01T21:20:34L163C110,,-691.2,-614.4,-307.2,-230.4,2013-04-01T21:20:34,2013-04-01T21:22:58,SDO
14,SOL2013-04-01T21:28:22L163C110,,-691.2,-614.4,-307.2,-230.4,2013-04-01T21:28:22,2013-04-01T21:34:22,SDO
15,SOL2013-04-01T21:58:34L120C079,,-998.4,-921.6,153.6,230.4,2013-04-01T21:58:34,2013-04-01T22:01:46,SDO
16,SOL2013-04-01T21:58:36L120C079,,-998.4,-921.6,153.6,230.4,2013-04-01T21:58:36,2013-04-01T22:01:36,SDO
17,SOL2013-04-01T21:58:37L120C079,,-998.4,-921.6,153.6,230.4,2013-04-01T21:58:37,2013-04-01T22:00:37,SDO
18,SOL2013-04-01T21:58:43L120C079,,-998.4,-921.6,153.6,230.4,2013-04-01T21:58:43,2013-04-01T22:01:31,SDO
